L_IMU_Ang,R_IMU_Ang,L_IMU_Vel,R_IMU_Vel,L_Cmd,R_Cmd,Peak,Time
0,0,0,0,0,0,0.0,0.0006499290466308594
0,0,0,0,0,0,0.0,0.0008473396301269531
0,0,0,0,0,0,0.0,0.00096893310546875
0,0,0,0,0,0,0.0,0.0010330677032470703
0,0,0,0,0,0,0.0,0.0010781288146972656
0,0,0,0,0,0,0.0,0.0011188983917236328
0,0,0,0,0,0,0.0,0.0011594295501708984
0,0,0,0,0,0,0.0,0.0011980533599853516
0,0,0,0,0,0,0.0,0.001238107681274414
0,0,0,0,0,0,0.0,0.0012784004211425781
0,0,0,0,0,0,0.0,0.0013170242309570312
0,0,0,0,0,0,0.0,0.0013546943664550781
0,0,0,0,0,0,0.0,0.0013921260833740234
0,0,0,0,0,0,0.0,0.0014302730560302734
0,0,0,0,0,0,0.0,0.0014688968658447266
0,0,0,0,0,0,0.0,0.001506805419921875
0,0,0,0,0,0,0.0,0.0015430450439453125
0,0,0,0,0,0,0.0,0.0015799999237060547
0,0,0,0,0,0,0.0,0.0016162395477294922
0,0,0,0,0,0,0.0,0.0016529560089111328
0,0,0,0,0,0,0.0,0.001689910888671875
0,0,0,0,0,0,0.0,0.001728057861328125
0,0,0,0,0,0,0.0,0.0017669200897216797
0,0,0,0,0,0,0.0,0.0018088817596435547
0,0,0,0,0,0,0.0,0.0018489360809326172
0,0,0,0,0,0,0.0,0.0018870830535888672
0,0,0,0,0,0,0.0,0.0019273757934570312
0,0,0,0,0,0,0.0,0.001963376998901367
0,0,0,0,0,0,0.0,0.002000093460083008
0,0,0,0,0,0,0.0,0.002036571502685547
0,0,0,0,0,0,0.0,0.002073049545288086
0,0,0,0,0,0,0.0,0.0021092891693115234
0,0,0,0,0,0,0.0,0.0021452903747558594
0,0,0,0,0,0,0.0,0.0021817684173583984
0,0,0,0,0,0,0.0,0.0022182464599609375
0,0,0,0,0,0,0.0,0.0022563934326171875
0,0,0,0,0,0,0.0,0.002293825149536133
0,0,0,0,0,0,0.0,0.0023314952850341797
0,0,0,0,0,0,0.0,0.002367734909057617
0,0,0,0,0,0,0.0,0.0024056434631347656
0,0,0,0,0,0,0.0,0.0024442672729492188
0,0,0,0,0,0,0.0,0.002483367919921875
0,0,0,0,0,0,0.0,0.0025229454040527344
0,0,0,0,0,0,0.0,0.0025606155395507812
0,0,0,0,0,0,0.0,0.0026013851165771484
0,0,0,0,0,0,0.0,0.0026412010192871094
0,0,0,0,0,0,0.0,0.002678394317626953
0,0,0,0,0,0,0.0,0.0027141571044921875
0,0,0,0,0,0,0.0,0.0027501583099365234
0,0,0,0,0,0,0.0,0.0027878284454345703
0,0,0,0,0,0,0.0,0.002825498580932617
0,0,0,0,0,0,0.0,0.0028634071350097656
0,0,0,0,0,0,0.0,0.0029006004333496094
0,0,0,0,0,0,0.0,0.0029408931732177734
0,0,0,0,0,0,0.0,0.0029802322387695312
0,0,0,0,0,0,0.0,0.0030188560485839844
0,0,0,0,0,0,0.0,0.003057718276977539
0,0,0,0,0,0,0.0,0.0030961036682128906
0,0,0,0,0,0,0.0,0.0031354427337646484
0,0,0,0,0,0,0.0,0.0031735897064208984
0,0,0,0,0,0,0.0,0.0032112598419189453
0,0,0,0,0,0,0.0,0.0032470226287841797
0,0,0,0,0,0,0.0,0.0032846927642822266
0,0,0,0,0,0,0.0,0.003319978713989258
0,0,0,0,0,0,0.0,0.0033566951751708984
0,0,0,0,0,0,0.0,0.0033948421478271484
0,0,0,0,0,0,0.0,0.0034334659576416016
0,0,0,0,0,0,0.0,0.0034706592559814453
0,0,0,0,0,0,0.0,0.0035097599029541016
0,0,0,0,0,0,0.0,0.0035486221313476562
0,0,0,0,0,0,0.0,0.0035877227783203125
0,0,0,0,0,0,0.0,0.003625154495239258
0,0,0,0,0,0,0.0,0.0036611557006835938
0,0,0,0,0,0,0.0,0.0036966800689697266
0,0,0,0,0,0,0.0,0.003732442855834961
0,0,0,0,0,0,0.0,0.0037689208984375
0,0,0,0,0,0,0.0,0.0038042068481445312
0,0,0,0,0,0,0.0,0.003839254379272461
0,0,0,0,0,0,0.0,0.003875732421875
0,0,0,0,0,0,0.0,0.003912210464477539
0,0,0,0,0,0,0.0,0.003949403762817383
0,0,0,0,0,0,0.0,0.0039865970611572266
0,0,0,0,0,0,0.0,0.00402522087097168
0,0,0,0,0,0,0.0,0.004063606262207031
0,0,0,0,0,0,0.0,0.004101991653442383
0,0,0,0,0,0,0.0,0.004138469696044922
0,0,0,0,0,0,0.0,0.004176616668701172
0,0,0,0,0,0,0.0,0.004214048385620117
0,0,0,0,0,0,0.0,0.004251956939697266
0,0,0,0,0,0,0.0,0.0042874813079833984
0,0,0,0,0,0,0.0,0.004323244094848633
0,0,0,0,0,0,0.0,0.00436091423034668
0,0,0,0,0,0,0.0,0.004399538040161133
0,0,0,0,0,0,0.0,0.004436492919921875
0,0,0,0,0,0,0.0,0.004473686218261719
0,0,0,0,0,0,0.0,0.0045125484466552734
0,0,0,0,0,0,0.0,0.0045511722564697266
0,0,0,0,0,0,0.0,0.004589557647705078
0,0,0,0,0,0,0.0,0.0046269893646240234
0,0,0,0,0,0,0.0,0.0046651363372802734
0,0,0,0,0,0,0.0,0.00470423698425293
